"","participant","code","total_duration","total","proportion","difference"
"1","BT0153","MIC","0.930000000000291","224.77000000001",0.00413756284201739,0
"2","BT0153","NP","42.780000000006","224.77000000001",0.190327890732767,0
"3","BT0153","NS1","68.2400000000068","224.77000000001",0.303599234773341,0
"4","BT0153","NS2","58.4699999999984","224.77000000001",0.260132579970618,0
"5","BT0153","ON","47.4000000000015","224.77000000001",0.21088223517373,0
"6","BT0153","OSN","6.94999999999709","224.77000000001",0.0309204965075267,0
"7","BT0153","MIC","0.930000000000291","306.175381748177",0.00303747477896573,0.00110008806305166
"8","BT0153","NP","49.3900000000078","306.175381748177",0.161312773476446,0.029015117256321
"9","BT0153","NS1","99.1853817481688","306.175381748177",0.323949565055975,0.020350330282634
"10","BT0153","NS2","67.4499999999962","306.175381748177",0.220298574022756,0.039834005947862
"11","BT0153","ON","82.2700000000063","306.175381748177",0.268702204371454,0.057819969197724
"12","BT0153","OSN","6.94999999999709","306.175381748177",0.0226994082944047,0.008221088213122
